Gene,Importance
205225_at,0.03356096597757117
224447_s_at,0.02251460909964379
228362_s_at,0.01924787613056049
204092_s_at,0.01763831002127652
211712_s_at,0.015142505221426366
224674_at,0.014506318660237355
204913_s_at,0.01441527778601753
227811_at,0.011807751760415803
210930_s_at,0.01176019025518025
210761_s_at,0.011090808372114064
203685_at,0.009846898699926712
208079_s_at,0.009256708193739726
210085_s_at,0.009180669617909613
204914_s_at,0.00916824642655897
206364_at,0.009142115859816785
55616_at,0.008910042608862313
206208_at,0.008696666829459026
221811_at,0.008506209630630968
203380_x_at,0.008292386240479711
202954_at,0.008138532989114851
203358_s_at,0.00811022853787117
215360_at,0.00809872526971284
204915_s_at,0.007772684373209189
219918_s_at,0.00736685370796887
225687_at,0.007183178429175685
205046_at,0.007181603816826422
223229_at,0.007130982726659402
224376_s_at,0.006948466050290666
228241_at,0.00694802365507313
219065_s_at,0.0060774565091112264
234675_x_at,0.005929707839930273
213330_s_at,0.005897814185890459
203554_x_at,0.005895197758532485
221928_at,0.0056044258091720025
217755_at,0.005559274057052846
216289_at,0.005525032481671028
204865_at,0.005318025992434714
238062_at,0.005286382066307516
244368_x_at,0.005228582459789983
206209_s_at,0.005219869678121083
238344_at,0.00519025330857313
209464_at,0.005158337743307992
216836_s_at,0.0051504723054118925
213183_s_at,0.004987908224317426
225629_s_at,0.004961956218700307
225379_at,0.004943230751122982
204962_s_at,0.0048927521731530884
244495_x_at,0.004792247827651693
222077_s_at,0.004751545149860504
205034_at,0.0047225179256725714
240595_at,0.0047082926846044705
223623_at,0.004659597092981647
233817_at,0.004656895039646652
1562527_at,0.004584777927561541
229839_at,0.004571400377734417
232800_at,0.004545307432098253
203362_s_at,0.004531720099509673
244112_x_at,0.004509632089095046
219787_s_at,0.004497169032667132
202991_at,0.004459992141891402
216153_x_at,0.004427345016652663
209408_at,0.004421925958070513
210052_s_at,0.004255139112990714
207165_at,0.004239869911791198
213486_at,0.004214621766190503
244655_at,0.004057633345668828
204822_at,0.0040512869468257336
209686_at,0.004046665727972955
204825_at,0.003986951959314831
224458_at,0.003973227785481492
205824_at,0.003966613864052648
201291_s_at,0.003945622552872103
227984_at,0.003718559016545817
204648_at,0.0036261573535812616
242731_x_at,0.0035878897235866038
1570255_s_at,0.0035648931149993885
238964_at,0.003562759463679858
201381_x_at,0.0035235655319836344
208622_s_at,0.003453878746934773
238701_x_at,0.0034128580997821213
212021_s_at,0.0033945282370555865
232324_x_at,0.0033535802011035254
202705_at,0.003353247261468716
206879_s_at,0.003305705897628114
216479_at,0.003292100148676677
236657_at,0.0032029207213370636
232313_at,0.0031930736673591634
242436_at,0.0030731936338298915
227068_at,0.003038234144204108
1569609_at,0.0030076555049316687
214710_s_at,0.003006953118079889
224012_at,0.00298889595117244
200026_at,0.0029607397900240527
242619_x_at,0.0029593460946468163
210691_s_at,0.002958893218678423
214435_x_at,0.0029393633170485614
218585_s_at,0.00293758702658858
228653_at,0.0029218970248115015
213900_at,0.002918006781139379
224753_at,0.0029149784514562855
227801_at,0.002905669235569726
204754_at,0.002878049325086069
232614_at,0.002846726748699115
222032_s_at,0.0028465388830781597
201695_s_at,0.002825967731156461
